Batch_ID,Sample_ID,Instrument_Type,Retention_Time,Impurity_A,Impurity_B,Total_Impurity,Purity,Test_Date
BATCH_0280,SMP_00279,HPLC,5.184,0.2069,0.1837,0.3906,96.094,2024-05-30
BATCH_0281,SMP_00280,HPLC,4.981,0.2913,0.1529,0.4442,95.558,2024-10-03
BATCH_0282,SMP_00281,UPLC,5.559,0.1898,0.1988,0.3886,96.114,2024-08-16
BATCH_0283,SMP_00282,HPLC,5.024,0.2585,0.133,0.3915,96.085,2024-06-19
BATCH_0284,SMP_00283,HPLC,4.908,0.4095,0.2197,0.6292,93.708,2024-08-10
BATCH_0285,SMP_00284,HPLC,4.797,0.2622,0.0654,0.3276,96.724,2024-07-31
BATCH_0286,SMP_00285,UPLC,5.22,0.4017,0.1592,0.5609,94.391,2024-10-08
BATCH_0287,SMP_00286,UPLC,5.157,0.3702,0.2388,0.609,93.91,2024-02-10
BATCH_0288,SMP_00287,HPLC,5.406,0.3092,0.2095,0.5187,94.813,2024-05-01
BATCH_0289,SMP_00288,HPLC,5.322,0.2146,0.143,0.3576,96.424,2024-08-14
BATCH_0290,SMP_00289,UPLC,5.258,0.3541,0.1614,0.5155,94.845,2024-10-20
BATCH_0291,SMP_00290,HPLC,5.146,0.225,0.2628,0.4878,95.122,2024-03-28
BATCH_0292,SMP_00291,HPLC,5.422,0.2498,0.0832,0.333,96.67,2024-09-23
BATCH_0293,SMP_00292,UPLC,5.573,0.283,0.0836,0.3666,96.334,2024-01-29
BATCH_0294,SMP_00293,UPLC,5.402,0.2495,0.1056,0.3551,96.449,2024-09-03
BATCH_0295,SMP_00294,UPLC,5.107,0.178,0.1791,0.3571,96.429,2024-11-11
BATCH_0296,SMP_00295,HPLC,5.356,0.0973,0.0715,0.1688,98.312,2024-08-31
BATCH_0297,SMP_00296,HPLC,5.12,0.3459,0.2562,0.6021,93.979,2024-03-01
BATCH_0298,SMP_00297,HPLC,4.979,0.307,0.1061,0.4131,95.869,2024-05-26
BATCH_0299,SMP_00298,HPLC,5.02,0.0779,0.1979,0.2758,97.242,2024-06-22
BATCH_0300,SMP_00299,UPLC,5.128,0.1753,0.1337,0.309,96.91,2024-10-04
BATCH_0301,SMP_00300,HPLC,5.221,0.2679,0.1748,0.4427,95.573,2024-11-29
BATCH_0302,SMP_00301,HPLC,5.612,0.2943,0.0517,0.346,96.54,2024-05-21
BATCH_0303,SMP_00302,UPLC,5.024,0.0982,0.2601,0.3583,96.417,2024-02-13
BATCH_0304,SMP_00303,UPLC,5.465,0.2411,0.1031,0.3442,96.558,2024-05-23
BATCH_0305,SMP_00304,HPLC,5.137,0.304,0.0947,0.3987,96.013,2024-12-18
BATCH_0306,SMP_00305,UPLC,4.797,0.2148,0.3703,0.5851,94.149,2024-11-28
BATCH_0307,SMP_00306,UPLC,5.099,0.2756,0.2243,0.4999,95.001,2024-02-24
BATCH_0308,SMP_00307,HPLC,5.435,0.2012,0.257,0.4582,95.418,2024-11-02
BATCH_0309,SMP_00308,HPLC,5.269,0.3409,0.2167,0.5576,94.424,2024-12-23
BATCH_0310,SMP_00309,HPLC,5.281,0.1701,0.1438,0.3139,96.861,2024-06-09
BATCH_0311,SMP_00310,HPLC,5.466,0.1358,0.0755,0.2113,97.887,2024-10-11
BATCH_0312,SMP_00311,UPLC,4.993,0.2529,0.1561,0.409,95.91,2024-11-20
BATCH_0313,SMP_00312,UPLC,4.99,0.1066,0.1017,0.2083,97.917,2024-07-16
BATCH_0314,SMP_00313,HPLC,4.747,0.0395,0.1066,0.1461,98.539,2024-06-07
BATCH_0315,SMP_00314,HPLC,5.375,0.3584,0.0533,0.4117,95.883,2024-03-20
BATCH_0316,SMP_00315,UPLC,5.312,0.1516,0.1892,0.3408,96.592,2024-01-31
BATCH_0317,SMP_00316,HPLC,5.345,0.1166,0.3059,0.4225,95.775,2024-04-21
BATCH_0318,SMP_00317,HPLC,4.963,0.1688,0.2247,0.3935,96.065,2024-02-15
BATCH_0319,SMP_00318,HPLC,4.879,0.1643,0.1715,0.3358,96.642,2024-12-18
BATCH_0320,SMP_00319,HPLC,4.936,0.2358,0.1768,0.4126,95.874,2024-07-23
BATCH_0321,SMP_00320,UPLC,5.015,0.1407,0.0638,0.2045,97.955,2024-02-21
BATCH_0322,SMP_00321,HPLC,5.511,0.2998,0.1461,0.4459,95.541,2024-05-17
BATCH_0323,SMP_00322,UPLC,5.4,0.3146,0.0659,0.3805,96.195,2024-03-14
BATCH_0324,SMP_00323,HPLC,5.108,0.1225,0.1908,0.3133,96.867,2024-02-10
BATCH_0325,SMP_00324,HPLC,5.26,0.1882,0.1592,0.3474,96.526,2024-03-17
BATCH_0326,SMP_00325,UPLC,5.064,0.1977,0.1105,0.3082,96.918,2024-07-05
BATCH_0327,SMP_00326,HPLC,5.273,0.2335,0.189,0.4225,95.775,2024-02-21
BATCH_0328,SMP_00327,UPLC,4.972,0.3583,0.1883,0.5466,94.534,2024-03-27
BATCH_0329,SMP_00328,HPLC,5.35,0.364,0.3015,0.6655,93.345,2024-04-18
BATCH_0330,SMP_00329,HPLC,5.03,0.4999,0.2349,0.7348,92.652,2024-08-12
BATCH_0331,SMP_00330,HPLC,5.361,0.0231,0.1974,0.2205,97.795,2024-09-04
BATCH_0332,SMP_00331,HPLC,5.115,0.1576,0.1042,0.2618,97.382,2024-03-09
BATCH_0333,SMP_00332,HPLC,5.042,0.4314,0.0941,0.5255,94.745,2024-04-29
BATCH_0334,SMP_00333,UPLC,5.523,0.0699,0.2279,0.2978,97.022,2024-03-07
BATCH_0335,SMP_00334,UPLC,5.235,0.4291,0.164,0.5931,94.069,2024-03-01
BATCH_0336,SMP_00335,HPLC,5.136,0.2647,0.1999,0.4646,95.354,2024-11-22
BATCH_0337,SMP_00336,HPLC,5.352,0.2684,0.2582,0.5266,94.734,2024-07-09
BATCH_0338,SMP_00337,UPLC,4.932,0.122,0.0589,0.1809,98.191,2024-07-07
BATCH_0339,SMP_00338,UPLC,5.421,0.2049,0.2918,0.4967,95.033,2024-05-30
BATCH_0340,SMP_00339,HPLC,5.172,0.4247,0.2576,0.6823,93.177,2024-10-12
BATCH_0341,SMP_00340,HPLC,5.32,0.2452,0.0156,0.2608,97.392,2024-04-05
BATCH_0342,SMP_00341,UPLC,4.89,0.2056,0.3682,0.5738,94.262,2024-11-07
BATCH_0343,SMP_00342,HPLC,5.124,0.2906,0.2057,0.4963,95.037,2024-11-04
BATCH_0344,SMP_00343,UPLC,5.201,0.2308,0.1417,0.3725,96.275,2024-09-19
BATCH_0345,SMP_00344,HPLC,5.406,0.2845,0.2215,0.506,94.94,2024-04-06
BATCH_0346,SMP_00345,UPLC,5.336,0.165,0.1018,0.2668,97.332,2024-04-22
BATCH_0347,SMP_00346,UPLC,5.122,0.2423,0.2237,0.466,95.34,2024-05-04
BATCH_0348,SMP_00347,HPLC,5.264,0.1859,0.1165,0.3024,96.976,2024-05-11
BATCH_0349,SMP_00348,UPLC,5.451,0.0696,0.3416,0.4112,95.888,2024-04-30
BATCH_0350,SMP_00349,HPLC,5.16,0.2982,0.1848,0.483,95.17,2024-07-15
BATCH_0351,SMP_00350,HPLC,5.138,0.1266,0.232,0.3586,96.414,2024-10-20
BATCH_0352,SMP_00351,HPLC,4.822,0.2335,0.1171,0.3506,96.494,2024-05-01
BATCH_0353,SMP_00352,HPLC,5.144,0.3426,0.2453,0.5879,94.121,2024-10-08
BATCH_0354,SMP_00353,UPLC,4.852,0.1002,0.179,0.2792,97.208,2024-09-16
BATCH_0355,SMP_00354,HPLC,5.177,0.3105,0.0671,0.3776,96.224,2024-02-08
BATCH_0356,SMP_00355,HPLC,5.398,0.22,0.1609,0.3809,96.191,2024-02-23
BATCH_0357,SMP_00356,HPLC,4.776,0.1533,0.3345,0.4878,95.122,2024-06-09
BATCH_0358,SMP_00357,HPLC,5.447,0.4523,0.2487,0.701,92.99,2024-10-15
BATCH_0359,SMP_00358,UPLC,5.134,0.2499,0.1497,0.3996,96.004,2024-07-18
BATCH_0360,SMP_00359,HPLC,5.195,0.1932,0.0305,0.2237,97.763,2024-10-02
BATCH_0361,SMP_00360,UPLC,5.1,0.172,0.1134,0.2854,97.146,2024-01-16
BATCH_0362,SMP_00361,UPLC,4.857,0.3381,0.0675,0.4056,95.944,2024-06-21
BATCH_0363,SMP_00362,UPLC,5.043,0.1888,0.0324,0.2212,97.788,2024-09-04
BATCH_0364,SMP_00363,HPLC,5.619,0.3257,0.2428,0.5685,94.315,2024-08-05
BATCH_0365,SMP_00364,HPLC,4.981,0.2498,0.185,0.4348,95.652,2024-03-27
BATCH_0366,SMP_00365,HPLC,4.882,0.3616,0.3236,0.6852,93.148,2024-03-22
BATCH_0367,SMP_00366,HPLC,5.228,0.1457,0.1002,0.2459,97.541,2024-03-02
BATCH_0368,SMP_00367,UPLC,5.183,0.1597,0.1798,0.3395,96.605,2024-10-13
BATCH_0369,SMP_00368,UPLC,5.135,0.2219,0.0685,0.2904,97.096,2024-02-11
BATCH_0370,SMP_00369,HPLC,5.203,0.2302,0.1324,0.3626,96.374,2024-01-12
BATCH_0371,SMP_00370,HPLC,5.329,0.2145,0.1622,0.3767,96.233,2024-11-16
BATCH_0372,SMP_00371,HPLC,5.083,0.5131,0.15,0.6631,93.369,2024-08-21
BATCH_0373,SMP_00372,HPLC,5.239,0.4563,0.1843,0.6406,93.594,2024-11-24
BATCH_0374,SMP_00373,HPLC,5.405,0.2799,0.2577,0.5376,94.624,2024-05-10
BATCH_0375,SMP_00374,HPLC,5.001,0.2917,0.2493,0.541,94.59,2024-04-24
BATCH_0376,SMP_00375,HPLC,4.736,0.2264,0.1185,0.3449,96.551,2024-08-05
BATCH_0377,SMP_00376,UPLC,5.334,0.145,0.1776,0.3226,96.774,2024-05-16
BATCH_0378,SMP_00377,UPLC,5.701,0.2318,0.2435,0.4753,95.247,2024-04-15
BATCH_0379,SMP_00378,UPLC,5.199,0.3271,0.2629,0.59,94.1,2024-06-27
BATCH_0380,SMP_00379,UPLC,5.24,0.3806,0.1271,0.5077,94.923,2024-01-16
BATCH_0381,SMP_00380,HPLC,5.141,0.3496,0.2367,0.5863,94.137,2024-08-29
BATCH_0382,SMP_00381,HPLC,5.518,0.099,0.2065,0.3055,96.945,2024-11-29
BATCH_0383,SMP_00382,HPLC,5.184,0.2211,0.0947,0.3158,96.842,2024-08-13
BATCH_0384,SMP_00383,HPLC,5.163,0.1031,0.244,0.3471,96.529,2024-08-29
BATCH_0385,SMP_00384,HPLC,5.382,0.3669,0.1921,0.559,94.41,2024-05-20
BATCH_0386,SMP_00385,UPLC,5.103,0.2088,0.0407,0.2495,97.505,2024-07-17
BATCH_0387,SMP_00386,HPLC,4.943,0.2453,0.1565,0.4018,95.982,2024-04-21
BATCH_0388,SMP_00387,UPLC,5.376,0.298,0.1832,0.4812,95.188,2024-05-06
BATCH_0389,SMP_00388,HPLC,5.082,0.5266,0.1315,0.6581,93.419,2024-01-21
BATCH_0390,SMP_00389,UPLC,5.005,0.2768,0.2783,0.5551,94.449,2024-05-26
BATCH_0391,SMP_00390,HPLC,5.62,0.2262,0.2812,0.5074,94.926,2024-03-29
BATCH_0392,SMP_00391,UPLC,5.164,0.1259,0.1494,0.2753,97.247,2024-10-29
BATCH_0393,SMP_00392,HPLC,5.299,0.3959,0.1406,0.5365,94.635,2024-07-21
BATCH_0394,SMP_00393,HPLC,5.206,0.2318,0.1695,0.4013,95.987,2024-03-25
BATCH_0395,SMP_00394,HPLC,5.023,0.4157,0.164,0.5797,94.203,2024-06-15
BATCH_0396,SMP_00395,HPLC,5.338,0.3606,0.1326,0.4932,95.068,2024-03-12
BATCH_0397,SMP_00396,UPLC,5.263,0.2037,0.1167,0.3204,96.796,2024-10-24
BATCH_0398,SMP_00397,HPLC,5.068,0.1108,0.3204,0.4312,95.688,2024-01-09
BATCH_0399,SMP_00398,UPLC,5.287,0.2773,0.18,0.4573,95.427,2024-10-07
BATCH_0400,SMP_00399,HPLC,5.097,0.1885,0.1657,0.3542,96.458,2024-09-14
BATCH_0401,SMP_00400,UPLC,4.979,0.2539,0.206,0.4599,95.401,2024-10-01
BATCH_0402,SMP_00401,HPLC,4.959,0.3549,0.1736,0.5285,94.715,2024-08-25
BATCH_0403,SMP_00402,HPLC,5.254,0.0846,0.1456,0.2302,97.698,2024-01-20
BATCH_0404,SMP_00403,UPLC,5.123,0.2765,0.0995,0.376,96.24,2024-08-20
BATCH_0405,SMP_00404,HPLC,5.5,0.326,0.0329,0.3589,96.411,2024-08-08
BATCH_0406,SMP_00405,HPLC,5.191,0.3308,0.0716,0.4024,95.976,2024-11-21
BATCH_0407,SMP_00406,UPLC,5.043,0.1136,0.0907,0.2043,97.957,2024-01-17
BATCH_0408,SMP_00407,HPLC,5.232,0.2919,0.2321,0.524,94.76,2024-03-29
BATCH_0409,SMP_00408,UPLC,4.941,0.3704,0.238,0.6084,93.916,2024-07-14
BATCH_0410,SMP_00409,HPLC,5.183,0.2843,0.1095,0.3938,96.062,2024-12-15
BATCH_0411,SMP_00410,UPLC,5.264,0.2384,0.0331,0.2715,97.285,2024-03-24
BATCH_0412,SMP_00411,UPLC,5.239,0.364,0.1807,0.5447,94.553,2024-03-27
BATCH_0413,SMP_00412,UPLC,5.461,0.1806,0.1463,0.3269,96.731,2024-11-02
BATCH_0414,SMP_00413,UPLC,5.72,0.097,0.1443,0.2413,97.587,2024-12-03
BATCH_0415,SMP_00414,HPLC,5.334,0.2299,0.2565,0.4864,95.136,2024-06-02
BATCH_0416,SMP_00415,HPLC,5.436,0.3035,0.1911,0.4946,95.054,2024-08-15
BATCH_0417,SMP_00416,UPLC,5.709,0.3539,0.1019,0.4558,95.442,2024-09-20
BATCH_0418,SMP_00417,HPLC,4.999,0.3031,0.0835,0.3866,96.134,2024-08-10
BATCH_0419,SMP_00418,HPLC,5.226,0.3336,0.159,0.4926,95.074,2024-04-30
BATCH_0420,SMP_00419,HPLC,5.104,0.3545,0.1075,0.462,95.38,2024-06-21
BATCH_0421,SMP_00420,UPLC,5.369,0.2161,0.1742,0.3903,96.097,2024-01-04
BATCH_0422,SMP_00421,HPLC,5.254,0.2352,0.2621,0.4973,95.027,2024-12-07
BATCH_0423,SMP_00422,HPLC,5.036,0.3787,0.0696,0.4483,95.517,2024-05-07
BATCH_0424,SMP_00423,UPLC,5.202,0.129,0.187,0.316,96.84,2024-04-19
BATCH_0425,SMP_00424,HPLC,5.409,0.2929,0.2532,0.5461,94.539,2024-12-20
BATCH_0426,SMP_00425,UPLC,4.939,0.1783,0.1731,0.3514,96.486,2024-02-06
BATCH_0427,SMP_00426,UPLC,5.041,0.36,0.2377,0.5977,94.023,2024-03-11
BATCH_0428,SMP_00427,UPLC,5.011,0.2482,0.157,0.4052,95.948,2024-10-15
BATCH_0429,SMP_00428,HPLC,5.265,0.2508,0.1937,0.4445,95.555,2024-01-31
BATCH_0430,SMP_00429,HPLC,5.448,0.4229,0.2153,0.6382,93.618,2024-09-24
BATCH_0431,SMP_00430,UPLC,4.798,0.1424,0.1342,0.2766,97.234,2024-01-11
BATCH_0432,SMP_00431,UPLC,5.219,0.2716,0.3393,0.6109,93.891,2024-12-09
BATCH_0433,SMP_00432,UPLC,5.015,0.232,0.2262,0.4582,95.418,2024-11-23
BATCH_0434,SMP_00433,UPLC,5.401,0.3032,0.2842,0.5874,94.126,2024-02-01
BATCH_0435,SMP_00434,UPLC,5.153,0.4429,0.2657,0.7086,92.914,2024-02-26
BATCH_0436,SMP_00435,UPLC,5.226,0.1895,0.2062,0.3957,96.043,2024-06-14
BATCH_0437,SMP_00436,HPLC,5.2,0.1303,0.2909,0.4212,95.788,2024-07-06
BATCH_0438,SMP_00437,UPLC,5.425,0.1691,0.195,0.3641,96.359,2024-12-07
BATCH_0439,SMP_00438,UPLC,5.61,0.2267,0.1216,0.3483,96.517,2024-01-19
BATCH_0440,SMP_00439,UPLC,4.973,0.2564,0.1812,0.4376,95.624,2024-04-25
BATCH_0441,SMP_00440,HPLC,5.009,0.2615,0.0995,0.361,96.39,2024-07-02
BATCH_0442,SMP_00441,HPLC,5.264,0.4303,0.0119,0.4422,95.578,2024-09-26
BATCH_0443,SMP_00442,HPLC,5.037,0.4125,0.1118,0.5243,94.757,2024-02-02
BATCH_0444,SMP_00443,HPLC,5.387,0.3803,0.1858,0.5661,94.339,2024-01-10
BATCH_0445,SMP_00444,UPLC,5.419,0.5014,0.265,0.7664,92.336,2024-03-20
BATCH_0446,SMP_00445,HPLC,5.091,0.3324,0.1116,0.444,95.56,2024-07-10
BATCH_0447,SMP_00446,UPLC,5.047,0.3608,0.2608,0.6216,93.784,2024-11-15
BATCH_0448,SMP_00447,UPLC,5.145,0.3305,0.0831,0.4136,95.864,2024-07-08
BATCH_0449,SMP_00448,UPLC,5.221,0.3141,0.1064,0.4205,95.795,2024-03-08
BATCH_0450,SMP_00449,UPLC,5.263,0.2894,0.2959,0.5853,94.147,2024-12-13
BATCH_0451,SMP_00450,UPLC,4.749,0.2103,0.1838,0.3941,96.059,2024-05-04
BATCH_0452,SMP_00451,UPLC,5.007,0.1253,0.1661,0.2914,97.086,2024-12-01
BATCH_0453,SMP_00452,HPLC,5.119,0.2369,0.1988,0.4357,95.643,2024-02-28
BATCH_0454,SMP_00453,HPLC,5.041,0.3066,0.0835,0.3901,96.099,2024-04-06
BATCH_0455,SMP_00454,HPLC,4.627,0.2572,0.1535,0.4107,95.893,2024-10-01
BATCH_0456,SMP_00455,HPLC,4.822,0.1435,0.1802,0.3237,96.763,2024-05-28
BATCH_0457,SMP_00456,HPLC,4.939,0.2334,0.2785,0.5119,94.881,2024-10-04
BATCH_0458,SMP_00457,UPLC,5.177,0.2282,0.0464,0.2746,97.254,2024-09-21
BATCH_0459,SMP_00458,HPLC,5.113,0.2438,0.321,0.5648,94.352,2024-01-09
BATCH_0460,SMP_00459,HPLC,5.074,0.2991,0.17,0.4691,95.309,2024-10-09
BATCH_0461,SMP_00460,HPLC,5.359,0.3206,0.0912,0.4118,95.882,2024-09-29
BATCH_0462,SMP_00461,UPLC,5.359,0.2,0.0767,0.2767,97.233,2024-10-27
BATCH_0463,SMP_00462,UPLC,5.23,0.3481,0.2019,0.55,94.5,2024-01-08
BATCH_0464,SMP_00463,UPLC,5.224,0.3632,0.0722,0.4354,95.646,2024-07-26
BATCH_0465,SMP_00464,HPLC,5.029,0.282,0.1352,0.4172,95.828,2024-05-04
BATCH_0466,SMP_00465,HPLC,5.053,0.3165,0.16,0.4765,95.235,2024-05-02
BATCH_0467,SMP_00466,HPLC,4.858,0.3484,0.2715,0.6199,93.801,2024-02-02
BATCH_0468,SMP_00467,HPLC,5.15,0.1402,0.2615,0.4017,95.983,2024-01-01
BATCH_0469,SMP_00468,HPLC,5.357,0.3555,0.1286,0.4841,95.159,2024-07-22
BATCH_0470,SMP_00469,UPLC,5.471,0.171,0.163,0.334,96.66,2024-01-06
BATCH_0471,SMP_00470,HPLC,5.151,0.1807,0.0524,0.2331,97.669,2024-10-23
BATCH_0472,SMP_00471,UPLC,5.298,0.2696,0.0169,0.2865,97.135,2024-01-05
BATCH_0473,SMP_00472,HPLC,4.629,0.0356,0.0817,0.1173,98.827,2024-03-20
BATCH_0474,SMP_00473,UPLC,5.113,0.2676,0.2698,0.5374,94.626,2024-09-30
BATCH_0475,SMP_00474,UPLC,5.109,0.3482,0.2424,0.5906,94.094,2024-06-25
BATCH_0476,SMP_00475,UPLC,5.498,0.0854,0.2107,0.2961,97.039,2024-12-03
BATCH_0477,SMP_00476,UPLC,5.279,0.3589,0.0634,0.4223,95.777,2024-11-16
BATCH_0478,SMP_00477,HPLC,5.299,0.1801,0.1231,0.3032,96.968,2024-12-04
BATCH_0479,SMP_00478,HPLC,5.288,0.2707,0.1114,0.3821,96.179,2024-05-15
BATCH_0480,SMP_00479,HPLC,5.209,0.1946,0.1667,0.3613,96.387,2024-01-25
BATCH_0481,SMP_00480,UPLC,5.506,0.3073,0.1617,0.469,95.31,2024-11-20
BATCH_0482,SMP_00481,HPLC,4.739,0.3525,0.0998,0.4523,95.477,2024-07-01
BATCH_0483,SMP_00482,HPLC,5.229,0.3147,0.2079,0.5226,94.774,2024-06-16
BATCH_0484,SMP_00483,HPLC,5.426,0.2496,0.1983,0.4479,95.521,2024-12-03
BATCH_0485,SMP_00484,HPLC,4.822,0.2024,0.1217,0.3241,96.759,2024-06-26
BATCH_0486,SMP_00485,UPLC,5.368,0.2431,0.2043,0.4474,95.526,2024-04-04
BATCH_0487,SMP_00486,UPLC,5.048,0.3156,0.2699,0.5855,94.145,2024-02-02
BATCH_0488,SMP_00487,HPLC,5.222,0.319,0.2942,0.6132,93.868,2024-04-20
BATCH_0489,SMP_00488,HPLC,5.044,0.3051,0.2193,0.5244,94.756,2024-05-25
BATCH_0490,SMP_00489,HPLC,5.392,0.1217,0.2169,0.3386,96.614,2024-08-18
BATCH_0491,SMP_00490,UPLC,5.142,0.2477,0.1608,0.4085,95.915,2024-09-28
BATCH_0492,SMP_00491,UPLC,5.369,0.1867,0.2624,0.4491,95.509,2024-12-01
BATCH_0493,SMP_00492,UPLC,5.287,0.3165,0.0944,0.4109,95.891,2024-02-07
BATCH_0494,SMP_00493,HPLC,5.041,0.1735,0.2531,0.4266,95.734,2024-05-14
BATCH_0495,SMP_00494,UPLC,5.3,0.2952,0.157,0.4522,95.478,2024-11-29
BATCH_0496,SMP_00495,UPLC,5.067,0.2218,0.2993,0.5211,94.789,2024-08-22
BATCH_0497,SMP_00496,UPLC,5.213,0.0621,0.2271,0.2892,97.108,2024-11-14
BATCH_0498,SMP_00497,UPLC,5.139,0.3431,0.1746,0.5177,94.823,2024-12-10
BATCH_0499,SMP_00498,UPLC,5.38,0.2475,0.1611,0.4086,95.914,2024-06-08
BATCH_0500,SMP_00499,HPLC,5.308,0.3776,0.222,0.5996,94.004,2024-02-07
