Batch_ID,Time_Point_Month,Storage_Temperature,Potency,Degradation
BATCH_0117,0,25,99.55,0.45
BATCH_0117,1,40,99.58,0.42
BATCH_0117,3,30,97.91,2.09
BATCH_0117,6,30,98.6,1.4
BATCH_0117,9,40,97.72,2.28
BATCH_0117,12,30,96.09,3.91
BATCH_0118,0,40,102.87,0.0
BATCH_0118,1,25,102.27,0.0
BATCH_0118,3,25,102.14,0.0
BATCH_0118,6,25,100.99,0.0
BATCH_0118,9,30,100.9,0.0
BATCH_0118,12,40,99.45,0.55
BATCH_0119,0,40,99.21,0.79
BATCH_0119,1,40,98.42,1.58
BATCH_0119,3,25,97.83,2.17
BATCH_0119,6,30,97.28,2.72
BATCH_0119,9,25,96.49,3.51
BATCH_0119,12,25,94.59,5.41
BATCH_0120,0,25,101.3,0.0
BATCH_0120,1,40,101.66,0.0
BATCH_0120,3,30,101.71,0.0
BATCH_0120,6,30,100.58,0.0
BATCH_0120,9,30,98.35,1.65
BATCH_0120,12,40,97.53,2.47
BATCH_0121,0,25,99.8,0.2
BATCH_0121,1,40,98.75,1.25
BATCH_0121,3,30,98.17,1.83
BATCH_0121,6,25,97.43,2.57
BATCH_0121,9,30,96.46,3.54
BATCH_0121,12,30,95.71,4.29
BATCH_0122,0,25,100.63,0.0
BATCH_0122,1,25,99.81,0.19
BATCH_0122,3,30,99.5,0.5
BATCH_0122,6,40,99.27,0.73
BATCH_0122,9,30,98.62,1.38
BATCH_0122,12,25,97.37,2.63
BATCH_0123,0,30,100.4,0.0
BATCH_0123,1,30,100.52,0.0
BATCH_0123,3,25,100.31,0.0
BATCH_0123,6,25,99.19,0.81
BATCH_0123,9,25,97.45,2.55
BATCH_0123,12,40,97.41,2.59
BATCH_0124,0,40,97.94,2.06
BATCH_0124,1,25,99.3,0.7
BATCH_0124,3,40,99.21,0.79
BATCH_0124,6,30,97.56,2.44
BATCH_0124,9,40,97.25,2.75
BATCH_0124,12,40,95.92,4.08
BATCH_0125,0,25,98.29,1.71
BATCH_0125,1,25,98.59,1.41
BATCH_0125,3,30,97.4,2.6
BATCH_0125,6,30,97.12,2.88
BATCH_0125,9,25,95.78,4.22
BATCH_0125,12,40,95.63,4.37
BATCH_0126,0,40,99.43,0.57
BATCH_0126,1,30,99.25,0.75
BATCH_0126,3,40,98.7,1.3
BATCH_0126,6,40,97.61,2.39
BATCH_0126,9,40,96.55,3.45
BATCH_0126,12,25,95.25,4.75
BATCH_0127,0,40,101.94,0.0
BATCH_0127,1,40,101.41,0.0
BATCH_0127,3,40,101.41,0.0
BATCH_0127,6,30,99.9,0.1
BATCH_0127,9,30,99.24,0.76
BATCH_0127,12,40,98.04,1.96
BATCH_0128,0,25,99.48,0.52
BATCH_0128,1,25,97.85,2.15
BATCH_0128,3,25,98.0,2.0
BATCH_0128,6,40,97.06,2.94
BATCH_0128,9,30,95.56,4.44
BATCH_0128,12,25,95.29,4.71
BATCH_0129,0,30,100.42,0.0
BATCH_0129,1,25,100.31,0.0
BATCH_0129,3,30,100.06,0.0
BATCH_0129,6,40,98.19,1.81
BATCH_0129,9,30,99.07,0.93
BATCH_0129,12,40,97.76,2.24
BATCH_0130,0,25,99.94,0.06
BATCH_0130,1,30,99.85,0.15
BATCH_0130,3,30,98.84,1.16
BATCH_0130,6,25,98.04,1.96
BATCH_0130,9,25,97.59,2.41
BATCH_0130,12,30,96.27,3.73
BATCH_0131,0,30,99.58,0.42
BATCH_0131,1,40,100.61,0.0
BATCH_0131,3,25,99.49,0.51
BATCH_0131,6,30,98.73,1.27
BATCH_0131,9,40,97.52,2.48
BATCH_0131,12,30,96.72,3.28
BATCH_0132,0,30,101.29,0.0
BATCH_0132,1,40,100.63,0.0
BATCH_0132,3,40,100.3,0.0
BATCH_0132,6,40,99.65,0.35
BATCH_0132,9,40,97.81,2.19
BATCH_0132,12,25,97.41,2.59
BATCH_0133,0,25,100.13,0.0
BATCH_0133,1,30,99.25,0.75
BATCH_0133,3,30,98.72,1.28
BATCH_0133,6,25,96.86,3.14
BATCH_0133,9,40,97.17,2.83
BATCH_0133,12,30,95.82,4.18
BATCH_0134,0,25,100.31,0.0
BATCH_0134,1,25,101.03,0.0
BATCH_0134,3,40,99.24,0.76
BATCH_0134,6,30,98.61,1.39
BATCH_0134,9,30,97.59,2.41
BATCH_0134,12,25,97.28,2.72
BATCH_0135,0,30,100.3,0.0
BATCH_0135,1,40,100.01,0.0
BATCH_0135,3,40,99.22,0.78
BATCH_0135,6,40,98.88,1.12
BATCH_0135,9,30,97.23,2.77
BATCH_0135,12,30,96.24,3.76
BATCH_0136,0,30,99.44,0.56
BATCH_0136,1,40,99.64,0.36
BATCH_0136,3,40,97.82,2.18
BATCH_0136,6,30,98.5,1.5
BATCH_0136,9,40,97.69,2.31
BATCH_0136,12,40,96.48,3.52
BATCH_0137,0,25,98.14,1.86
BATCH_0137,1,30,98.08,1.92
BATCH_0137,3,40,98.33,1.67
BATCH_0137,6,40,97.42,2.58
BATCH_0137,9,30,97.59,2.41
BATCH_0137,12,40,94.98,5.02
BATCH_0138,0,30,100.08,0.0
BATCH_0138,1,30,99.61,0.39
BATCH_0138,3,25,98.65,1.35
BATCH_0138,6,40,98.63,1.37
BATCH_0138,9,25,97.56,2.44
BATCH_0138,12,25,96.03,3.97
BATCH_0139,0,25,100.02,0.0
BATCH_0139,1,30,98.92,1.08
BATCH_0139,3,30,98.62,1.38
BATCH_0139,6,25,97.78,2.22
BATCH_0139,9,25,97.79,2.21
BATCH_0139,12,30,95.86,4.14
BATCH_0140,0,40,99.56,0.44
BATCH_0140,1,40,99.3,0.7
BATCH_0140,3,25,99.15,0.85
BATCH_0140,6,25,97.21,2.79
BATCH_0140,9,30,95.95,4.05
BATCH_0140,12,30,95.58,4.42
BATCH_0141,0,30,98.91,1.09
BATCH_0141,1,30,99.06,0.94
BATCH_0141,3,25,98.19,1.81
BATCH_0141,6,25,97.86,2.14
BATCH_0141,9,30,95.89,4.11
BATCH_0141,12,25,95.74,4.26
BATCH_0142,0,25,99.98,0.02
BATCH_0142,1,40,100.03,0.0
BATCH_0142,3,30,99.35,0.65
BATCH_0142,6,30,97.2,2.8
BATCH_0142,9,25,96.25,3.75
BATCH_0142,12,30,96.06,3.94
BATCH_0143,0,30,97.66,2.34
BATCH_0143,1,25,97.76,2.24
BATCH_0143,3,40,96.67,3.33
BATCH_0143,6,25,95.53,4.47
BATCH_0143,9,40,95.89,4.11
BATCH_0143,12,25,94.33,5.67
BATCH_0144,0,30,100.07,0.0
BATCH_0144,1,25,99.71,0.29
BATCH_0144,3,40,99.71,0.29
BATCH_0144,6,25,99.96,0.04
BATCH_0144,9,30,97.74,2.26
BATCH_0144,12,25,97.2,2.8
BATCH_0145,0,40,98.44,1.56
BATCH_0145,1,30,97.47,2.53
BATCH_0145,3,25,97.68,2.32
BATCH_0145,6,40,97.17,2.83
BATCH_0145,9,30,97.06,2.94
BATCH_0145,12,25,95.8,4.2
BATCH_0146,0,25,101.0,0.0
BATCH_0146,1,25,100.88,0.0
BATCH_0146,3,25,100.24,0.0
BATCH_0146,6,30,99.37,0.63
BATCH_0146,9,30,99.28,0.72
BATCH_0146,12,25,96.85,3.15
BATCH_0147,0,40,100.53,0.0
BATCH_0147,1,25,100.75,0.0
BATCH_0147,3,30,100.4,0.0
BATCH_0147,6,25,98.3,1.7
BATCH_0147,9,40,98.11,1.89
BATCH_0147,12,25,96.19,3.81
BATCH_0148,0,40,100.95,0.0
BATCH_0148,1,40,100.92,0.0
BATCH_0148,3,30,100.31,0.0
BATCH_0148,6,40,100.26,0.0
BATCH_0148,9,30,99.01,0.99
BATCH_0148,12,30,98.3,1.7
BATCH_0149,0,30,98.36,1.64
BATCH_0149,1,25,98.0,2.0
BATCH_0149,3,25,97.44,2.56
BATCH_0149,6,25,97.19,2.81
BATCH_0149,9,30,96.79,3.21
BATCH_0149,12,25,94.8,5.2
BATCH_0150,0,30,100.14,0.0
BATCH_0150,1,40,99.05,0.95
BATCH_0150,3,30,98.83,1.17
BATCH_0150,6,25,99.27,0.73
BATCH_0150,9,40,97.79,2.21
BATCH_0150,12,40,96.11,3.89
BATCH_0151,0,30,99.03,0.97
BATCH_0151,1,40,98.41,1.59
BATCH_0151,3,30,97.9,2.1
BATCH_0151,6,40,96.72,3.28
BATCH_0151,9,25,95.49,4.51
BATCH_0151,12,40,95.22,4.78
BATCH_0152,0,25,100.74,0.0
BATCH_0152,1,30,100.13,0.0
BATCH_0152,3,30,99.72,0.28
BATCH_0152,6,25,98.22,1.78
BATCH_0152,9,30,97.57,2.43
BATCH_0152,12,30,96.03,3.97
BATCH_0153,0,30,101.43,0.0
BATCH_0153,1,25,101.12,0.0
BATCH_0153,3,40,100.76,0.0
BATCH_0153,6,30,99.69,0.31
BATCH_0153,9,40,98.1,1.9
BATCH_0153,12,25,97.43,2.57
BATCH_0154,0,25,100.86,0.0
BATCH_0154,1,40,100.67,0.0
BATCH_0154,3,40,100.98,0.0
BATCH_0154,6,25,99.54,0.46
BATCH_0154,9,40,98.69,1.31
BATCH_0154,12,40,96.74,3.26
BATCH_0155,0,40,100.87,0.0
BATCH_0155,1,30,100.46,0.0
BATCH_0155,3,40,99.66,0.34
BATCH_0155,6,25,99.31,0.69
BATCH_0155,9,40,98.08,1.92
BATCH_0155,12,30,97.3,2.7
BATCH_0156,0,30,101.05,0.0
BATCH_0156,1,30,100.17,0.0
BATCH_0156,3,25,100.01,0.0
BATCH_0156,6,40,99.43,0.57
BATCH_0156,9,40,97.97,2.03
BATCH_0156,12,25,96.4,3.6
BATCH_0157,0,30,99.81,0.19
BATCH_0157,1,30,98.11,1.89
BATCH_0157,3,40,98.56,1.44
BATCH_0157,6,25,97.01,2.99
BATCH_0157,9,25,96.41,3.59
BATCH_0157,12,25,96.19,3.81
BATCH_0158,0,30,99.58,0.42
BATCH_0158,1,25,98.69,1.31
BATCH_0158,3,30,97.41,2.59
BATCH_0158,6,25,98.21,1.79
BATCH_0158,9,40,96.15,3.85
BATCH_0158,12,25,94.18,5.82
BATCH_0159,0,30,98.12,1.88
BATCH_0159,1,40,99.79,0.21
BATCH_0159,3,25,98.11,1.89
BATCH_0159,6,30,97.15,2.85
BATCH_0159,9,30,95.71,4.29
BATCH_0159,12,40,95.95,4.05
BATCH_0160,0,40,98.79,1.21
BATCH_0160,1,30,99.02,0.98
BATCH_0160,3,40,98.4,1.6
BATCH_0160,6,40,96.82,3.18
BATCH_0160,9,25,95.55,4.45
BATCH_0160,12,40,95.27,4.73
BATCH_0161,0,40,101.16,0.0
BATCH_0161,1,30,100.4,0.0
BATCH_0161,3,25,99.36,0.64
BATCH_0161,6,30,98.9,1.1
BATCH_0161,9,30,97.44,2.56
BATCH_0161,12,30,96.79,3.21
BATCH_0162,0,25,98.92,1.08
BATCH_0162,1,40,100.31,0.0
BATCH_0162,3,40,98.3,1.7
BATCH_0162,6,30,97.28,2.72
BATCH_0162,9,25,96.08,3.92
BATCH_0162,12,30,95.76,4.24
BATCH_0163,0,25,100.02,0.0
BATCH_0163,1,40,99.75,0.25
BATCH_0163,3,40,98.53,1.47
BATCH_0163,6,25,97.97,2.03
BATCH_0163,9,30,96.39,3.61
BATCH_0163,12,40,95.11,4.89
BATCH_0164,0,30,100.05,0.0
BATCH_0164,1,30,98.74,1.26
BATCH_0164,3,25,98.0,2.0
BATCH_0164,6,40,96.99,3.01
BATCH_0164,9,30,96.57,3.43
BATCH_0164,12,40,95.38,4.62
BATCH_0165,0,30,99.67,0.33
BATCH_0165,1,25,100.54,0.0
BATCH_0165,3,25,99.89,0.11
BATCH_0165,6,25,98.42,1.58
BATCH_0165,9,40,98.35,1.65
BATCH_0165,12,30,96.5,3.5
BATCH_0166,0,30,99.18,0.82
BATCH_0166,1,25,98.02,1.98
BATCH_0166,3,40,98.38,1.62
BATCH_0166,6,40,97.22,2.78
BATCH_0166,9,30,95.43,4.57
BATCH_0166,12,40,93.68,6.32
BATCH_0167,0,25,100.14,0.0
BATCH_0167,1,30,99.92,0.08
BATCH_0167,3,25,99.06,0.94
BATCH_0167,6,25,98.31,1.69
BATCH_0167,9,25,97.21,2.79
BATCH_0167,12,25,96.56,3.44
BATCH_0168,0,25,98.74,1.26
BATCH_0168,1,25,99.53,0.47
BATCH_0168,3,25,99.61,0.39
BATCH_0168,6,30,98.49,1.51
BATCH_0168,9,25,98.34,1.66
BATCH_0168,12,30,96.65,3.35
BATCH_0169,0,25,99.36,0.64
BATCH_0169,1,30,98.62,1.38
BATCH_0169,3,30,97.87,2.13
BATCH_0169,6,30,96.72,3.28
BATCH_0169,9,25,96.59,3.41
BATCH_0169,12,40,94.93,5.07
BATCH_0170,0,40,102.53,0.0
BATCH_0170,1,25,101.33,0.0
BATCH_0170,3,40,100.33,0.0
BATCH_0170,6,40,99.27,0.73
BATCH_0170,9,25,99.88,0.12
BATCH_0170,12,30,97.34,2.66
BATCH_0171,0,25,100.99,0.0
BATCH_0171,1,30,100.21,0.0
BATCH_0171,3,25,99.9,0.1
BATCH_0171,6,30,99.24,0.76
BATCH_0171,9,40,97.97,2.03
BATCH_0171,12,30,97.51,2.49
BATCH_0172,0,25,101.67,0.0
BATCH_0172,1,25,100.88,0.0
BATCH_0172,3,40,100.65,0.0
BATCH_0172,6,25,99.05,0.95
BATCH_0172,9,30,97.55,2.45
BATCH_0172,12,30,97.73,2.27
BATCH_0173,0,40,100.43,0.0
BATCH_0173,1,40,100.85,0.0
BATCH_0173,3,30,99.31,0.69
BATCH_0173,6,25,99.15,0.85
BATCH_0173,9,30,98.03,1.97
BATCH_0173,12,25,96.2,3.8
BATCH_0174,0,40,101.65,0.0
BATCH_0174,1,25,100.06,0.0
BATCH_0174,3,30,99.58,0.42
BATCH_0174,6,30,99.54,0.46
BATCH_0174,9,30,97.95,2.05
BATCH_0174,12,30,96.53,3.47
BATCH_0175,0,30,100.83,0.0
BATCH_0175,1,30,99.31,0.69
BATCH_0175,3,25,98.64,1.36
BATCH_0175,6,30,98.05,1.95
BATCH_0175,9,25,96.64,3.36
BATCH_0175,12,25,96.02,3.98
BATCH_0176,0,40,99.01,0.99
BATCH_0176,1,40,98.69,1.31
BATCH_0176,3,30,98.48,1.52
BATCH_0176,6,40,97.57,2.43
BATCH_0176,9,25,95.88,4.12
BATCH_0176,12,30,95.0,5.0
BATCH_0177,0,25,98.38,1.62
BATCH_0177,1,25,98.78,1.22
BATCH_0177,3,30,97.85,2.15
BATCH_0177,6,30,96.87,3.13
BATCH_0177,9,25,95.5,4.5
BATCH_0177,12,30,95.47,4.53
BATCH_0178,0,25,101.82,0.0
BATCH_0178,1,25,102.02,0.0
BATCH_0178,3,25,101.28,0.0
BATCH_0178,6,30,100.6,0.0
BATCH_0178,9,30,99.27,0.73
BATCH_0178,12,40,99.33,0.67
BATCH_0179,0,25,100.7,0.0
BATCH_0179,1,40,100.86,0.0
BATCH_0179,3,40,100.31,0.0
BATCH_0179,6,25,98.61,1.39
BATCH_0179,9,25,98.61,1.39
BATCH_0179,12,25,97.97,2.03
BATCH_0180,0,25,101.11,0.0
BATCH_0180,1,30,100.73,0.0
BATCH_0180,3,25,99.74,0.26
BATCH_0180,6,40,98.38,1.62
BATCH_0180,9,30,97.88,2.12
BATCH_0180,12,30,96.62,3.38
BATCH_0181,0,30,100.05,0.0
BATCH_0181,1,25,98.81,1.19
BATCH_0181,3,40,98.32,1.68
BATCH_0181,6,30,96.98,3.02
BATCH_0181,9,30,95.89,4.11
BATCH_0181,12,25,96.19,3.81
BATCH_0182,0,25,103.28,0.0
BATCH_0182,1,30,102.52,0.0
BATCH_0182,3,30,102.13,0.0
BATCH_0182,6,40,101.53,0.0
BATCH_0182,9,40,101.04,0.0
BATCH_0182,12,40,100.16,0.0
BATCH_0183,0,40,100.72,0.0
BATCH_0183,1,40,99.62,0.38
BATCH_0183,3,30,99.45,0.55
BATCH_0183,6,30,99.36,0.64
BATCH_0183,9,40,97.2,2.8
BATCH_0183,12,30,97.58,2.42
BATCH_0184,0,25,99.0,1.0
BATCH_0184,1,25,99.17,0.83
BATCH_0184,3,25,98.32,1.68
BATCH_0184,6,25,98.04,1.96
BATCH_0184,9,30,96.34,3.66
BATCH_0184,12,25,96.4,3.6
BATCH_0185,0,40,100.03,0.0
BATCH_0185,1,25,99.26,0.74
BATCH_0185,3,40,98.94,1.06
BATCH_0185,6,30,98.0,2.0
BATCH_0185,9,40,96.68,3.32
BATCH_0185,12,30,96.54,3.46
BATCH_0186,0,30,100.64,0.0
BATCH_0186,1,30,98.51,1.49
BATCH_0186,3,40,98.03,1.97
BATCH_0186,6,40,97.55,2.45
BATCH_0186,9,25,97.3,2.7
BATCH_0186,12,25,95.82,4.18
BATCH_0187,0,30,99.92,0.08
BATCH_0187,1,40,99.98,0.02
BATCH_0187,3,30,100.28,0.0
BATCH_0187,6,40,98.35,1.65
BATCH_0187,9,40,97.23,2.77
BATCH_0187,12,25,96.17,3.83
BATCH_0188,0,30,99.45,0.55
BATCH_0188,1,40,99.21,0.79
BATCH_0188,3,25,98.06,1.94
BATCH_0188,6,40,96.79,3.21
BATCH_0188,9,25,96.53,3.47
BATCH_0188,12,25,95.75,4.25
BATCH_0189,0,25,100.95,0.0
BATCH_0189,1,30,101.17,0.0
BATCH_0189,3,25,99.99,0.01
BATCH_0189,6,40,98.87,1.13
BATCH_0189,9,25,98.44,1.56
BATCH_0189,12,40,96.44,3.56
BATCH_0190,0,40,101.0,0.0
BATCH_0190,1,25,99.76,0.24
BATCH_0190,3,25,98.72,1.28
BATCH_0190,6,30,97.92,2.08
BATCH_0190,9,40,97.71,2.29
BATCH_0190,12,40,97.0,3.0
BATCH_0191,0,40,102.06,0.0
BATCH_0191,1,40,101.28,0.0
BATCH_0191,3,40,100.3,0.0
BATCH_0191,6,30,100.68,0.0
BATCH_0191,9,30,98.83,1.17
BATCH_0191,12,30,98.96,1.04
BATCH_0192,0,25,100.52,0.0
BATCH_0192,1,40,100.21,0.0
BATCH_0192,3,30,99.47,0.53
BATCH_0192,6,40,97.8,2.2
BATCH_0192,9,25,97.94,2.06
BATCH_0192,12,30,96.16,3.84
BATCH_0193,0,25,99.92,0.08
BATCH_0193,1,30,100.45,0.0
BATCH_0193,3,40,99.39,0.61
BATCH_0193,6,40,98.24,1.76
BATCH_0193,9,30,98.24,1.76
BATCH_0193,12,40,96.74,3.26
BATCH_0194,0,25,99.95,0.05
BATCH_0194,1,30,98.62,1.38
BATCH_0194,3,25,98.21,1.79
BATCH_0194,6,40,97.37,2.63
BATCH_0194,9,30,97.0,3.0
BATCH_0194,12,25,94.69,5.31
BATCH_0195,0,25,99.05,0.95
BATCH_0195,1,40,98.51,1.49
BATCH_0195,3,40,98.49,1.51
BATCH_0195,6,40,97.19,2.81
BATCH_0195,9,25,96.52,3.48
BATCH_0195,12,30,94.55,5.45
BATCH_0196,0,25,98.58,1.42
BATCH_0196,1,30,98.28,1.72
BATCH_0196,3,25,97.8,2.2
BATCH_0196,6,30,97.51,2.49
BATCH_0196,9,25,95.8,4.2
BATCH_0196,12,40,95.16,4.84
BATCH_0197,0,40,101.63,0.0
BATCH_0197,1,40,101.44,0.0
BATCH_0197,3,25,101.32,0.0
BATCH_0197,6,30,101.23,0.0
BATCH_0197,9,25,99.9,0.1
BATCH_0197,12,25,99.09,0.91
BATCH_0198,0,40,101.35,0.0
BATCH_0198,1,25,100.18,0.0
BATCH_0198,3,40,98.21,1.79
BATCH_0198,6,30,98.05,1.95
BATCH_0198,9,40,96.9,3.1
BATCH_0198,12,30,95.88,4.12
BATCH_0199,0,40,99.15,0.85
BATCH_0199,1,40,97.55,2.45
BATCH_0199,3,25,97.56,2.44
BATCH_0199,6,25,96.48,3.52
BATCH_0199,9,30,96.22,3.78
BATCH_0199,12,40,94.98,5.02
BATCH_0200,0,30,100.96,0.0
BATCH_0200,1,40,99.69,0.31
BATCH_0200,3,40,100.14,0.0
BATCH_0200,6,30,98.34,1.66
BATCH_0200,9,40,97.42,2.58
BATCH_0200,12,40,96.81,3.19
BATCH_0201,0,40,98.95,1.05
BATCH_0201,1,40,99.31,0.69
BATCH_0201,3,30,98.5,1.5
BATCH_0201,6,25,98.02,1.98
BATCH_0201,9,25,96.17,3.83
BATCH_0201,12,40,96.1,3.9
BATCH_0202,0,30,99.14,0.86
BATCH_0202,1,25,99.25,0.75
BATCH_0202,3,40,97.58,2.42
BATCH_0202,6,30,97.38,2.62
BATCH_0202,9,25,96.99,3.01
BATCH_0202,12,25,96.18,3.82
BATCH_0203,0,40,101.23,0.0
BATCH_0203,1,40,101.29,0.0
BATCH_0203,3,25,100.2,0.0
BATCH_0203,6,40,99.48,0.52
BATCH_0203,9,40,99.31,0.69
BATCH_0203,12,40,98.9,1.1
BATCH_0204,0,40,100.81,0.0
BATCH_0204,1,25,100.38,0.0
BATCH_0204,3,25,99.11,0.89
BATCH_0204,6,25,98.7,1.3
BATCH_0204,9,30,97.2,2.8
BATCH_0204,12,40,96.71,3.29
BATCH_0205,0,40,98.72,1.28
BATCH_0205,1,25,100.09,0.0
BATCH_0205,3,40,99.58,0.42
BATCH_0205,6,40,97.32,2.68
BATCH_0205,9,30,97.28,2.72
BATCH_0205,12,40,95.88,4.12
BATCH_0206,0,25,99.32,0.68
BATCH_0206,1,25,99.22,0.78
BATCH_0206,3,25,98.62,1.38
BATCH_0206,6,30,97.29,2.71
BATCH_0206,9,30,96.16,3.84
BATCH_0206,12,30,95.68,4.32
BATCH_0207,0,25,100.76,0.0
BATCH_0207,1,30,100.81,0.0
BATCH_0207,3,30,99.84,0.16
BATCH_0207,6,30,98.83,1.17
BATCH_0207,9,40,98.54,1.46
BATCH_0207,12,30,96.49,3.51
BATCH_0208,0,25,98.56,1.44
BATCH_0208,1,30,98.22,1.78
BATCH_0208,3,40,97.5,2.5
BATCH_0208,6,40,97.46,2.54
BATCH_0208,9,30,95.68,4.32
BATCH_0208,12,40,95.69,4.31
BATCH_0209,0,30,100.37,0.0
BATCH_0209,1,25,100.82,0.0
BATCH_0209,3,25,99.72,0.28
BATCH_0209,6,40,98.7,1.3
BATCH_0209,9,30,98.19,1.81
BATCH_0209,12,25,97.08,2.92
BATCH_0210,0,25,99.99,0.01
BATCH_0210,1,30,100.48,0.0
BATCH_0210,3,30,99.52,0.48
BATCH_0210,6,25,98.67,1.33
BATCH_0210,9,25,97.43,2.57
BATCH_0210,12,30,97.3,2.7
BATCH_0211,0,30,99.8,0.2
BATCH_0211,1,40,100.77,0.0
BATCH_0211,3,25,99.47,0.53
BATCH_0211,6,40,99.08,0.92
BATCH_0211,9,30,98.69,1.31
BATCH_0211,12,25,96.28,3.72
BATCH_0212,0,25,99.17,0.83
BATCH_0212,1,30,99.47,0.53
BATCH_0212,3,30,98.65,1.35
BATCH_0212,6,40,97.36,2.64
BATCH_0212,9,40,95.35,4.65
BATCH_0212,12,40,96.0,4.0
BATCH_0213,0,25,99.04,0.96
BATCH_0213,1,40,99.93,0.07
BATCH_0213,3,30,99.05,0.95
BATCH_0213,6,40,98.33,1.67
BATCH_0213,9,25,97.06,2.94
BATCH_0213,12,30,96.46,3.54
BATCH_0214,0,40,101.25,0.0
BATCH_0214,1,25,100.71,0.0
BATCH_0214,3,40,100.88,0.0
BATCH_0214,6,40,99.21,0.79
BATCH_0214,9,25,99.09,0.91
BATCH_0214,12,30,97.53,2.47
BATCH_0215,0,30,99.95,0.05
BATCH_0215,1,25,100.27,0.0
BATCH_0215,3,25,99.64,0.36
BATCH_0215,6,30,98.55,1.45
BATCH_0215,9,25,97.21,2.79
BATCH_0215,12,30,97.13,2.87
BATCH_0216,0,25,100.56,0.0
BATCH_0216,1,30,100.6,0.0
BATCH_0216,3,40,99.55,0.45
BATCH_0216,6,25,98.51,1.49
BATCH_0216,9,30,97.06,2.94
BATCH_0216,12,40,97.24,2.76
BATCH_0217,0,25,99.65,0.35
BATCH_0217,1,25,100.28,0.0
BATCH_0217,3,30,99.78,0.22
BATCH_0217,6,40,98.92,1.08
BATCH_0217,9,30,97.67,2.33
BATCH_0217,12,30,96.7,3.3
BATCH_0218,0,30,98.12,1.88
BATCH_0218,1,25,98.71,1.29
BATCH_0218,3,30,97.31,2.69
BATCH_0218,6,25,97.11,2.89
BATCH_0218,9,25,95.65,4.35
BATCH_0218,12,30,95.23,4.77
BATCH_0219,0,30,100.93,0.0
BATCH_0219,1,30,100.94,0.0
BATCH_0219,3,40,99.26,0.74
BATCH_0219,6,30,98.96,1.04
BATCH_0219,9,30,98.34,1.66
BATCH_0219,12,30,98.05,1.95
BATCH_0220,0,30,101.56,0.0
BATCH_0220,1,25,100.12,0.0
BATCH_0220,3,40,101.07,0.0
BATCH_0220,6,25,99.03,0.97
BATCH_0220,9,30,99.09,0.91
BATCH_0220,12,25,98.08,1.92
BATCH_0221,0,25,100.8,0.0
BATCH_0221,1,30,99.59,0.41
BATCH_0221,3,25,97.65,2.35
BATCH_0221,6,40,98.66,1.34
BATCH_0221,9,25,98.08,1.92
BATCH_0221,12,30,95.65,4.35
BATCH_0222,0,40,99.12,0.88
BATCH_0222,1,30,98.52,1.48
BATCH_0222,3,40,98.93,1.07
BATCH_0222,6,40,97.43,2.57
BATCH_0222,9,40,96.68,3.32
BATCH_0222,12,40,94.93,5.07
BATCH_0223,0,30,100.56,0.0
BATCH_0223,1,25,99.69,0.31
BATCH_0223,3,30,99.08,0.92
BATCH_0223,6,40,98.17,1.83
BATCH_0223,9,30,96.84,3.16
BATCH_0223,12,30,96.54,3.46
BATCH_0224,0,40,98.89,1.11
BATCH_0224,1,30,97.4,2.6
BATCH_0224,3,25,97.6,2.4
BATCH_0224,6,25,95.7,4.3
BATCH_0224,9,40,94.97,5.03
BATCH_0224,12,40,95.94,4.06
BATCH_0225,0,40,100.66,0.0
BATCH_0225,1,25,99.35,0.65
BATCH_0225,3,25,98.9,1.1
BATCH_0225,6,30,98.04,1.96
BATCH_0225,9,25,98.4,1.6
BATCH_0225,12,30,96.4,3.6
BATCH_0226,0,40,101.79,0.0
BATCH_0226,1,40,101.61,0.0
BATCH_0226,3,30,100.07,0.0
BATCH_0226,6,25,100.27,0.0
BATCH_0226,9,40,99.1,0.9
BATCH_0226,12,30,98.52,1.48
BATCH_0227,0,25,100.42,0.0
BATCH_0227,1,25,100.15,0.0
BATCH_0227,3,40,99.36,0.64
BATCH_0227,6,40,98.81,1.19
BATCH_0227,9,25,97.45,2.55
BATCH_0227,12,40,96.39,3.61
BATCH_0228,0,25,99.6,0.4
BATCH_0228,1,30,99.13,0.87
BATCH_0228,3,30,99.55,0.45
BATCH_0228,6,40,99.02,0.98
BATCH_0228,9,40,96.58,3.42
BATCH_0228,12,40,95.77,4.23
BATCH_0229,0,25,99.96,0.04
BATCH_0229,1,40,99.54,0.46
BATCH_0229,3,40,98.87,1.13
BATCH_0229,6,30,98.83,1.17
BATCH_0229,9,30,97.59,2.41
BATCH_0229,12,25,96.48,3.52
BATCH_0230,0,30,101.0,0.0
BATCH_0230,1,30,101.36,0.0
BATCH_0230,3,40,100.08,0.0
BATCH_0230,6,25,98.4,1.6
BATCH_0230,9,25,98.73,1.27
BATCH_0230,12,30,97.25,2.75
BATCH_0231,0,30,100.57,0.0
BATCH_0231,1,40,99.83,0.17
BATCH_0231,3,30,98.88,1.12
BATCH_0231,6,40,98.31,1.69
BATCH_0231,9,30,97.93,2.07
BATCH_0231,12,30,95.72,4.28
BATCH_0232,0,30,100.91,0.0
BATCH_0232,1,30,100.98,0.0
BATCH_0232,3,30,100.13,0.0
BATCH_0232,6,40,98.96,1.04
BATCH_0232,9,40,98.33,1.67
BATCH_0232,12,30,96.98,3.02
BATCH_0233,0,40,100.59,0.0
BATCH_0233,1,40,100.64,0.0
